postId;title;license;level;pdf;epub
1896;Little Ant's Big Plan;CC-BY-4.0;Read Aloud;/en/pdf/Little-Ants-Big-Plan.pdf;/en/epub/Little-Ants-Big-Plan.epub
1914;Lory Dory;CC-BY-4.0;Read Aloud;/en/pdf/Lory-Dory.pdf;/en/epub/Lory-Dory.epub
2216;Thato's Birthday Surprise;CC-BY-4.0;Read Aloud;/en/pdf/Thatos-Birthday-Surprise.pdf;/en/epub/Thatos-Birthday-Surprise.epub
2386;There Must be a Rainbow;CC-BY-4.0;Read Aloud;/en/pdf/There-Must-be-a-Rainbow.pdf;/en/epub/There-Must-be-a-Rainbow.epub
1626;Colorful Messages;CC-BY-NC-4.0;Level 5;/en/pdf/Colorful-Messages.pdf;/en/epub/Colorful-Messages.epub
1686;Dry Quickly, Frangipani Flowers!;CC-BY-4.0;Level 5;/en/pdf/Dry-Quickly-Frangipani-Flowers.pdf;/en/epub/Dry-Quickly-Frangipani-Flowers.epub
1726;Go Away, Naughty Monster!;CC-BY-NC-4.0;Level 5;/en/pdf/Go-Away-Naughty-Monster.pdf;/en/epub/Go-Away-Naughty-Monster.epub
1806;I Have to Find a Way!;CC-BY-NC-4.0;Level 5;/en/pdf/I-Have-to-Find-a-Way.pdf;/en/epub/I-Have-to-Find-a-Way.epub
1856;Kaldi and the Dancing Goats;CC-BY-NC-4.0;Level 5;/en/pdf/Kaldi-and-the-Dancing-Goats.pdf;/en/epub/Kaldi-and-the-Dancing-Goats.epub
1998;My New Color;CC-BY-NC-4.0;Level 5;/en/pdf/My-New-Color.pdf;/en/epub/My-New-Color.epub
2098;Prince Dhola’s Journey;CC-BY-NC-4.0;Level 5;/en/pdf/Prince-Dholas-Journey.pdf;/en/epub/Prince-Dholas-Journey.epub
2204;Sunkeshi: The Princess with Golden Hair;cc-by-nc-sa-4-0;Level 5;/en/pdf/Sunkeshi-The-Princess-with-Golden-Hair.pdf;/en/epub/Sunkeshi-The-Princess-with-Golden-Hair.epub
2278;The Friend of a Friend;CC-BY-NC-4.0;Level 5;/en/pdf/The-Friend-of-a-Friend.pdf;/en/epub/The-Friend-of-a-Friend.epub
2286;The Great Council of Fish;CC-BY-NC-4.0;Level 5;/en/pdf/The-Great-Council-of-Fish.pdf;/en/epub/The-Great-Council-of-Fish.epub
2290;The Great Reef Burn;CC-BY-NC-4.0;Level 5;/en/pdf/The-Great-Reef-Burn.pdf;/en/epub/The-Great-Reef-Burn.epub
2340;The Queen of Garbage;CC-BY-NC-4.0;Level 5;/en/pdf/The-Queen-of-Garbage.pdf;/en/epub/The-Queen-of-Garbage.epub
1486;A Message in the Envelope;CC-BY-4.0;Level 4;/en/pdf/A-Message-in-the-Envelope.pdf;/en/epub/A-Message-in-the-Envelope.epub
1496;A Quest to Find the Sun;CC-BY-4.0;Level 4;/en/pdf/A-Quest-to-Find-the-Sun.pdf;/en/epub/A-Quest-to-Find-the-Sun.epub
1660;Dancing to the Beat;CC-BY-NC-4.0;Level 4;/en/pdf/Dancing-to-the-Beat.pdf;/en/epub/Dancing-to-the-Beat.epub
1728;Goat, The False King;CC-BY-4.0;Level 4;/en/pdf/Goat-The-False-King.pdf;/en/epub/Goat-The-False-King.epub
1742;Grandma's Bananas;CC-BY-4.0;Level 4;/en/pdf/Grandmas-Bananas.pdf;/en/epub/Grandmas-Bananas.epub
1752;Gul in Space;CC-BY-4.0;Level 4;/en/pdf/Gul-in-Space.pdf;/en/epub/Gul-in-Space.epub
1776;Holding Hands;CC-BY-NC-4.0;Level 4;/en/pdf/Holding-Hands.pdf;/en/epub/Holding-Hands.epub
1846;Jungle Brew;CC-BY-4.0;Level 4;/en/pdf/Jungle-Brew.pdf;/en/epub/Jungle-Brew.epub
1874;Khyaa: The Forest Spirit with the Pierced Tongue;cc-by-nc-sa-4-0;Level 4;/en/pdf/Khyaa-The-Forest-Spirit-with-the-Pierced-Tongue.pdf;/en/epub/Khyaa-The-Forest-Spirit-with-the-Pierced-Tongue.epub
1910;Little Spirit's Journey;CC-BY-4.0;Level 4;/en/pdf/Little-Spirits-Journey.pdf;/en/epub/Little-Spirits-Journey.epub
1930;Magozwe;CC-BY-4.0;Level 4;/en/pdf/Magozwe.pdf;/en/epub/Magozwe.epub
1986;My First Day at the Market;CC-BY-4.0;Level 4;/en/pdf/My-First-Day-at-the-Market.pdf;/en/epub/My-First-Day-at-the-Market.epub
1992;My Hero is You;CC-BY-4.0;Level 4;/en/pdf/My-Hero-is-You.pdf;/en/epub/My-Hero-is-You.epub
2034;Nonkungu And The Imbulu;CC-BY-4.0;Level 4;/en/pdf/Nonkungu-And-The-Imbulu.pdf;/en/epub/Nonkungu-And-The-Imbulu.epub
2154;Share it Fair!;CC-BY-4.0;Level 4;/en/pdf/Share-it-Fair.pdf;/en/epub/Share-it-Fair.epub
2244;The Boy Without a Name;CC-BY-4.0;Level 4;/en/pdf/The-Boy-Without-a-Name.pdf;/en/epub/The-Boy-Without-a-Name.epub
2252;The Cat in the Ghat!;CC-BY-4.0;Level 4;/en/pdf/The-Cat-in-the-Ghat.pdf;/en/epub/The-Cat-in-the-Ghat.epub
2270;The Dollhouse;CC-BY-4.0;Level 4;/en/pdf/The-Dollhouse.pdf;/en/epub/The-Dollhouse.epub
2272;The Elephant in My House;CC-BY-NC-4.0;Level 4;/en/pdf/The-Elephant-in-My-House.pdf;/en/epub/The-Elephant-in-My-House.epub
2284;The Golden Bird;CC-BY-4.0;Level 4;/en/pdf/The-Golden-Bird.pdf;/en/epub/The-Golden-Bird.epub
2300;The Hare's Story;CC-BY-4.0;Level 4;/en/pdf/The-Hares-Story.pdf;/en/epub/The-Hares-Story.epub
2304;The Island Where Noa Lives;CC-BY-NC-4.0;Level 4;/en/pdf/The-Island-Where-Noa-Lives.pdf;/en/epub/The-Island-Where-Noa-Lives.epub
2308;The Lattice Window;CC-BY-NC-4.0;Level 4;/en/pdf/The-Lattice-Window.pdf;/en/epub/The-Lattice-Window.epub
2326;The mystery of the disappearing lamps;cc-by-nc-sa-4-0;Level 4;/en/pdf/The-mystery-of-the-disappearing-lamps.pdf;/en/epub/The-mystery-of-the-disappearing-lamps.epub
2336;The Plan of the Cunning Fox;CC-BY-NC-4.0;Level 4;/en/pdf/The-Plan-of-the-Cunning-Fox.pdf;/en/epub/The-Plan-of-the-Cunning-Fox.epub
2350;The Scavenger Hunt;CC-BY-4.0;Level 4;/en/pdf/The-Scavenger-Hunt.pdf;/en/epub/The-Scavenger-Hunt.epub
2400;Tine and the Faraway Mountain;CC-BY-4.0;Level 4;/en/pdf/Tine-and-the-Faraway-Mountain.pdf;/en/epub/Tine-and-the-Faraway-Mountain.epub
2436;Tuna and the Red Algae;cc-by-nc-sa-4-0;Level 4;/en/pdf/Tuna-and-the-Red-Algae.pdf;/en/epub/Tuna-and-the-Red-Algae.epub
2440;Turtle Story;CC-BY-4.0;Level 4;/en/pdf/Turtle-Story.pdf;/en/epub/Turtle-Story.epub
2448;Under the Invisibility Cloak;CC-BY-4.0;Level 4;/en/pdf/Under-the-Invisibility-Cloak.pdf;/en/epub/Under-the-Invisibility-Cloak.epub
2456;Wait for Me!;CC-BY-NC-4.0;Level 4;/en/pdf/Wait-for-Me.pdf;/en/epub/Wait-for-Me.epub
2524;Who Stole Bhaiya's Smile?;CC-BY-4.0;Level 4;/en/pdf/Who-Stole-Bhaiyas-Smile.pdf;/en/epub/Who-Stole-Bhaiyas-Smile.epub
10434;The Scavenger Hunt;CC-BY-4.0;Level 4;/en/pdf/The-Scavenger-Hunt.pdf;/en/epub/The-Scavenger-Hunt.epub
1474;A Feast in a Special Place;cc-by-nc-sa-4-0;Level 3;/en/pdf/A-Feast-in-a-Special-Place.pdf;/en/epub/A-Feast-in-a-Special-Place.epub
1476;A Feast on Saturn;cc-by-nc-sa-4-0;Level 3;/en/pdf/A-Feast-on-Saturn.pdf;/en/epub/A-Feast-on-Saturn.epub
1480;A Gift for Mom;cc-by-nc-sa-4-0;Level 3;/en/pdf/A-Gift-for-Mom.pdf;/en/epub/A-Gift-for-Mom.epub
1488;A New Nest;CC-BY-4.0;Level 3;/en/pdf/A-New-Nest.pdf;/en/epub/A-New-Nest.epub
1498;A Special Necklace;CC-BY-NC-4.0;Level 3;/en/pdf/A-Special-Necklace.pdf;/en/epub/A-Special-Necklace.epub
1522;Akai's Special Mat;CC-BY-4.0;Level 3;/en/pdf/Akais-Special-Mat.pdf;/en/epub/Akais-Special-Mat.epub
1526;Among the Roots;cc-by-nc-sa-4-0;Level 3;/en/pdf/Among-the-Roots.pdf;/en/epub/Among-the-Roots.epub
1532;An Amazing World;CC-BY-4.0;Level 3;/en/pdf/An-Amazing-World.pdf;/en/epub/An-Amazing-World.epub
1534;Anabelle and the Wishing Hill;cc-by-nc-sa-4-0;Level 3;/en/pdf/Anabelle-and-the-Wishing-Hill.pdf;/en/epub/Anabelle-and-the-Wishing-Hill.epub
1556;Beyond the Pasturelands;cc-by-nc-sa-4-0;Level 3;/en/pdf/Beyond-the-Pasturelands.pdf;/en/epub/Beyond-the-Pasturelands.epub
1558;Bhabhloo Bear's Adventure;CC-BY-4.0;Level 3;/en/pdf/Bhabhloo-Bears-Adventure.pdf;/en/epub/Bhabhloo-Bears-Adventure.epub
1560;Bhujar;CC-BY-4.0;Level 3;/en/pdf/Bhujar.pdf;/en/epub/Bhujar.epub
1590;Cave of the Glow Worms;cc-by-nc-sa-4-0;Level 3;/en/pdf/Cave-of-the-Glow-Worms.pdf;/en/epub/Cave-of-the-Glow-Worms.epub
1594;Chameli's Sparkle;CC-BY-4.0;Level 3;/en/pdf/Chamelis-Sparkle.pdf;/en/epub/Chamelis-Sparkle.epub
1598;Chicken and Millipede;CC-BY-4.0;Level 3;/en/pdf/Chicken-and-Millipede.pdf;/en/epub/Chicken-and-Millipede.epub
1624;Clever Rabbit;CC-BY-4.0;Level 3;/en/pdf/Clever-Rabbit.pdf;/en/epub/Clever-Rabbit.epub
1640;Connection Hill;CC-BY-NC-4.0;Level 3;/en/pdf/Connection-Hill.pdf;/en/epub/Connection-Hill.epub
1668;Dira and Chaku;CC-BY-4.0;Level 3;/en/pdf/Dira-and-Chaku.pdf;/en/epub/Dira-and-Chaku.epub
